published_at,cve,severity,score,status,cwe,references,description
2026-09-24T17:17:06.973Z,CVE-2026-88367,,,Received,,1,NanoSVG 239e102ec contains an incorrect numeric conversion vulnerability in nsvg__curveDivs() during SVG stroke rasterization. A specially crafted SVG document containing an extremely large stroke-width can cause floating-point rounding to produce a zero subdivision angle. The subsequent arc divisi…
2026-09-24T17:17:07.083Z,CVE-2026-88372,,,Received,,1,libsndfile 1.2.2 contains an integer overflow vulnerability in mat4_read_header() when parsing crafted MAT4 (MATLAB v4) files.
2026-09-24T17:17:07.197Z,CVE-2026-88373,,,Received,,2,"libde265 commit 4d45a6b contains a NULL pointer dereference vulnerability in the NAL parsing path. When de265_push_NAL() is called with a zero-length NAL unit, the resulting NAL_unit may retain a NULL backing buffer, which is subsequently passed as the destination argument to memcpy() in NAL_unit::…"
2026-09-24T17:17:07.313Z,CVE-2026-88376,,,Received,,1,Bento4 1.6.0.0 contains an integer underflow vulnerability in AP4_AvccAtom::Create() and AP4_HvccAtom::Create(). A specially crafted MP4 file containing an avcC or hvcC atom with a declared size smaller than the atom header size can cause the payload-size calculation to wrap to a large unsigned val…
2026-09-24T17:17:07.433Z,CVE-2026-88377,,,Received,,1,Bento4 1.6.0.0 contains an integer underflow vulnerability in the avcC and hvcC configuration atom parsers. A specially crafted MP4 file containing an atom with a declared size smaller than AP4_ATOM_HEADER_SIZE can cause AP4_AvccAtom::Create() or AP4_HvccAtom::Create() to underflow the payload-size…
2026-09-24T17:17:07.55Z,CVE-2026-88378,,,Received,,3,QuickJS commit 04be24600 contains a heap out-of-bounds write condition in JS_ReadFunctionTag().
2026-09-24T17:17:07.67Z,CVE-2026-88382,,,Received,,1,hiredis commit 29ea279 (post-v1.5.0) contains an uncontrolled memory allocation vulnerability in its RESP aggregate parser.
2026-09-24T17:17:07.787Z,CVE-2026-88383,,,Received,,3,"libical 4.0.6 contains an incompatible function pointer in icalparameter_string_to_kind(). When parsing iCalendar data containing a parameterized property, the function passes icalparameter_compare_kind_map() to bsearch() through an incompatible comparator function pointer type. bsearch() invokes t…"
2026-09-24T17:17:07.907Z,CVE-2026-88384,,,Received,,3,OpenEXR 3.4.14 contains a NULL Pointer Dereference in the C++ attribute parsing path. A specially crafted EXR file containing an unknown-type attribute with dataSize set to zero causes the parser to create an opaque attribute with a NULL packed_data pointer. The OpaqueAttribute constructor passes t…
2026-09-24T17:17:08.023Z,CVE-2026-88385,,,Received,,2,"Mini-XML 4.0.5 contains a memory leak vulnerability in mxml_load_data() during malformed XML parsing. Specially crafted XML input can cause text nodes allocated by mxmlNewText() to become unlinked before a parse error transfers control to the cleanup path. These orphaned nodes are not released, res…"
2026-09-24T17:17:08.143Z,CVE-2026-88390,,,Received,,2,An out-of-bounds write vulnerability in jslGetTokenValueAsString() in Espruino 2v29 (commit bffc6d0) allows crafted JavaScript input containing an overlong token to trigger a one-byte write beyond the JsLex.token buffer in RELEASE/NO_ASSERT builds. The out-of-bounds write corrupts the adjacent toke…
2026-09-24T17:17:08.393Z,CVE-2026-91122,HIGH,8.7,Deferred,CWE-79,6,"Discourse is an open-source discussion platform. Prior to 2026.1.8, 2026.6.3, 2026.7.2, and 2026.8.0, the video placeholder component allowed crafted HTML to cause an attribute breakout and inject an attacker-controlled event handler. An authenticated user with default trust-level posting privilege…"
2026-09-24T17:17:08.56Z,CVE-2026-91123,HIGH,7.2,Deferred,CWE-22,6,"Discourse is an open-source discussion platform. Prior to 2026.1.8, 2026.6.3, 2026.7.2, and 2026.8.0, the iframe src traversal guard did not treat literal backslashes as path separators after decoded dot segments. A crafted source could therefore pass an allowed_iframes subpath check while browser…"
2026-09-24T17:17:08.723Z,CVE-2026-91132,MEDIUM,4.3,Deferred,CWE-346,6,"Discourse is an open-source discussion platform. Prior to 2026.1.8, 2026.6.3, 2026.7.2, and 2026.8.0, sites using wildcard patterns in the allowed_iframes setting could accept a crafted iframe URL whose allowlisted suffix appeared after a URL authority separator. The wildcard origin check matched t…"
2026-09-24T17:17:08.893Z,CVE-2026-91133,MEDIUM,6.5,Deferred,CWE-943,6,"Discourse is an open-source discussion platform. Prior to 2026.1.8, 2026.6.3, 2026.7.2, and 2026.8.0, authenticated users could supply unescaped SQL LIKE metacharacters to upload-resolution patterns, causing wildcard input to select unrelated upload records instead of matching a literal identifier.…"
2026-09-24T17:17:09.08Z,CVE-2026-91134,MEDIUM,5.4,Deferred,CWE-20,6,"Discourse is an open-source discussion platform. Prior to 2026.1.8, 2026.6.3, 2026.7.2, and 2026.8.0, the Discourse post sanitizer allowed a stored cross-origin iframe to bypass the allowed_iframes prefix policy when the iframe src contained encoded userinfo. The sanitizer validated a decoded form…"
2026-09-24T17:17:09.257Z,CVE-2026-91160,HIGH,8.2,Received,CWE-862,5,"OpenWA is a free, open source, self-hosted WhatsApp API gateway. Prior to 0.23.5, the /events WebSocket gateway delivers the session.qr event to a VIEWER API key that subscribes by event name or through either wildcard subscription form, even though GET /api/sessions/{sessionId}/qr requires the OPE…"
2026-09-24T17:17:09.437Z,CVE-2026-91161,MEDIUM,6.4,Received,CWE-863,5,"OpenWA is a free, open source, self-hosted WhatsApp API gateway. Prior to 0.23.5, the GET /api/sessions/{sessionId}/groups/{groupId}/invite-code endpoint and the GroupGetInviteCode MCP tool have no OPERATOR role requirement, allowing a valid VIEWER key scoped to a session to retrieve an active grou…"
2026-09-24T17:17:09.587Z,CVE-2026-93284,,,Received,,2,"In the Linux kernel, the following vulnerability has been resolved: drm/pagemap: dma-unmap pages before handling migration errors drm_pagemap_migrate_unmap_pages() relies on the pages array to determine which pages require DMA unmapping. However, drm_pagemap_migration_unlock_put_pages() clears the…"
2026-09-24T17:17:09.697Z,CVE-2026-93285,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: f2fs: embed f2fs_gc_kthread in f2fs_sb_info Instead of allocating f2fs_gc_kthread dynamically, embed it in f2fs_sb_info. This simplifies lifetime management and prepares for fixing race conditions during teardown. - __sbi_store - r…"
2026-09-24T17:17:09.81Z,CVE-2026-93286,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: net: appletalk: fix NULL pointer dereference in aarp_send_ddp() aarp_send_ddp() calls atalk_find_dev_addr(dev) in the LocalTalk fast path without checking for NULL. When the device has no AppleTalk interface configured (dev->atalk_…"
2026-09-24T17:17:09.93Z,CVE-2026-93287,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: i2c: smbus: reject oversized block transfers in the common path The SMBus block transfer length data->block[0] is validated in i2c_smbus_xfer_emulated() but that check runs too late for tracepoints and is skipped entirely when the…"
2026-09-24T17:17:10.07Z,CVE-2026-93288,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: netfilter: nfnetlink_log: wait for rcu grace period before freeing pernet state sashiko reports: ""nfnl_log_net_exit() calls nf_log_unset(), which clears the logger pointer without an RCU grace period. Immediately after, ops_free_li…"
2026-09-24T17:17:10.183Z,CVE-2026-93542,MEDIUM,6.5,Received,CWE-125,1,An out-of-bounds read in libXi's XI2 class parsing via size_classes() and copy_classes() in libXi before 1.8.4 could be used by malicous servers to crash the X client.
2026-09-24T17:17:10.307Z,CVE-2026-93543,HIGH,7.4,Received,CWE-125,1,An out-of-bounds read in libXi's XI2 class parser in libXi before 1.8.4 could be used by malicious X servers to crash an attached X client.
2026-09-24T17:17:10.43Z,CVE-2026-93544,MEDIUM,6.5,Received,CWE-125,1,An out-of-bounds read in libXi's XI2 XIQueryDevice reply parsing in libXi before 1.8.4 can be used by a malicious X server to crash an attached X client.
2026-09-24T17:17:10.55Z,CVE-2026-93545,MEDIUM,6.5,Received,CWE-125,1,An out-of-bounds read in libXi's XListInputDevices() in libXi before 1.8.4 could be used by malicious X servers to crash an attached X client.
2026-09-24T17:17:10.67Z,CVE-2026-93781,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: scsi: core: Do not block on tag allocation in scsi_eh_lock_door() scsi_eh_lock_door() is called from scsi_restart_operations() while the host is still in the SHOST_RECOVERY state, i.e. before the host is switched back to SHOST_RUNN…"
2026-09-24T17:17:10.793Z,CVE-2026-93782,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: vhost-scsi: flush backend after device ioctls vhost-scsi translates guest response descriptors into userspace iovecs when commands are submitted. Target-core completes those commands asynchronously, so VHOST_SET_MEM_TABLE can repla…"
2026-09-24T17:17:10.907Z,CVE-2026-93783,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: Bluetooth: RFCOMM: validate skb length in rfcomm_recv_frame rfcomm_recv_frame() casts skb->data to struct rfcomm_hdr and dereferences hdr->addr and hdr->ctrl without validating skb->len first. A truncated frame with skb->len less t…"
2026-09-24T17:17:11.017Z,CVE-2026-93784,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: cfg80211: validate IEs in cfg80211_wext_siwgenie() The KASAN allocation trace shows that a malformed IE buffer is stored via SIOCSIWGENIE (cfg80211_wext_siwgenie()) without any validation. The crash trace shows that a subsequ…"
2026-09-24T17:17:11.13Z,CVE-2026-93785,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: cifs: validate idmap key payload length The cifs.idmap key type stores its payload length in key->datalen, which is limited to U16_MAX. Accepting a larger key payload truncates the recorded length and can make later users interpret…"
2026-09-24T17:17:11.243Z,CVE-2026-93786,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: ksmbd: preserve VFS inherited POSIX ACL mask The VFS initializes a child's POSIX ACL from the parent's default ACL and the requested creation mode. Do not mutate the parent ACL or overwrite the child's VFS-computed access and defau…"
2026-09-24T17:17:11.363Z,CVE-2026-93787,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: smb: client: bound dirent name against end of SMB response in cifs_filldir cifs_filldir() copies the entry name out of an SMB1 TRANS2_FIND_FIRST / FIND_NEXT response using a length (de.namelen) supplied by the server. The kmalloc'd…"
2026-09-24T17:17:11.477Z,CVE-2026-93788,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: iwlwifi: acpi: validate WGDS table revision index Check tbl_rev bounds before BIT(tbl_rev) to avoid undefined shifts when firmware reports an invalid revision value."
2026-09-24T17:17:11.593Z,CVE-2026-93789,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: iwlwifi: bound aligned TLV advance in FW parser Validate ALIGN(tlv_len, 4) against remaining parser length before consuming bytes from the firmware image. This avoids length underflow on malformed TLVs."
2026-09-24T17:17:11.71Z,CVE-2026-93790,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: iwlwifi: mvm: fix out-of-bounds tid_data access in BA notif mvmsta->tid_data was indexed by the TFD loop counter 'i' instead of the actual TID value 'tid'. This writes lq_color into a random tid_data slot unrelated to the BA…"
2026-09-24T17:17:11.82Z,CVE-2026-93791,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: iwlwifi: mvm: add a check on the tid coming from the firmware ba_notif->tid is a firmware-controlled u8 that is used directly as an array index into tid_data[] without any validation. Add a bounds check against IWL_MAX_TID_CO…"
2026-09-24T17:17:11.933Z,CVE-2026-93792,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: iwlwifi: mvm: fix a possible underflow We shouldn't trust the firmware about the length of the wowlan packet."
2026-09-24T17:17:12.05Z,CVE-2026-93793,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: iwlwifi: mvm: validate TX_CMD response layout TX_CMD parsing uses frame_count to walk status entries and then read the trailing SCD SSN. Make the minimum-length check follow that exact runtime layout calculation before parsin…"
2026-09-24T17:17:12.16Z,CVE-2026-93794,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: smb/client: flush dirty data before punching a hole Punching a hole after a large buffered write may leave the range reported as data. Reproduce it with: xfs_io -f \ -c ""pwrite -b 3m -S 0x61 0 3m"" \ -c ""fpunch 1m 1m"" \ -c ""seek -h…"
2026-09-24T17:17:12.27Z,CVE-2026-93795,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: blk-cgroup: fix leaks and online flag on radix_tree_insert failure When radix_tree_insert() fails in blkg_create(), the error path has two issues: 1. blkg->online is set to true unconditionally, even when the blkg was never fully i…"
2026-09-24T17:17:12.383Z,CVE-2026-93796,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: iwlwifi: pcie: null RX pointers after free When iwl_pcie_tx_init() fails after RX init, nic init unwinds via iwl_pcie_rx_free(). The freed RX members stayed non-NULL on the live transport object, so later teardown or retry co…"
2026-09-24T17:17:12.5Z,CVE-2026-93797,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: iwlwifi: mvm: fix an off-by-1 boundary check Before looking at the 11th byte, check the length is big enough."
2026-09-24T17:17:12.607Z,CVE-2026-93798,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: btrfs: fix reloc root cleanup in merge_reloc_roots() If the root we got has zero root refs in its root item, we are resetting the root's ->reloc_root without using barriers like we do everywhere else. Sashiko complained about this…"
2026-09-24T17:17:12.72Z,CVE-2026-93799,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: iwlwifi: mvm: validate sta_id in BA window status notif BA_WINDOW_STATUS_NOTIFICATION_ID extracts a 5-bit sta_id from the firmware notification and uses it to index fw_id_to_mac_id[] without bounds checking. Validate sta_id b…"
2026-09-24T17:17:12.87Z,CVE-2026-93800,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: btrfs: fix use-after-free on reloc root after error in insert_dirty_subvol() If during relocation we fail in insert_dirty_subvol() because btrfs_update_reloc_root() returned an error, we will leave a root's reloc_root field pointin…"
2026-09-24T17:17:13.017Z,CVE-2026-93801,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: smb/client: zero-initialize stack-allocated cifs_open_info_data Stack-allocated cifs_open_info_data may contain random data. This can make some fields have wrong value if they are not set later."
2026-09-24T17:17:13.127Z,CVE-2026-93802,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: rsi: validate beacon length before fixed buffer copy rsi_prepare_beacon() copies the mac80211 beacon frame after FRAME_DESC_SZ into a management skb whose usable tailroom may be smaller than MAX_MGMT_PKT_SIZE after alignment.…"
2026-09-24T17:17:13.24Z,CVE-2026-93803,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: libipw: fix key index receive bound checks libipw_rx() reads skb->data[hdrlen + 3] to extract the WEP key index in both the software-decrypt key selection path and the hardware-decrypted IV/ICV strip path. In both places the…"
2026-09-24T17:17:13.35Z,CVE-2026-93804,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: mac80211: ibss: wait for in-flight TX on disconnect While leaving an IBSS in ieee80211_ibss_disconnect() mac80211 flushes stations, turns the carrier off and immediately tells the driver to leave as well. While there may be s…"
2026-09-24T17:17:13.46Z,CVE-2026-93805,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: cfg80211: validate rx/tx MLME callback frame lengths before access cfg80211_rx_mlme_mgmt() and cfg80211_tx_mlme_mgmt() call tracepoints before rejecting frames shorter than the frame-control field. After that, they only requi…"
2026-09-24T17:17:13.57Z,CVE-2026-93806,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: cfg80211: validate assoc response length before status and IE access cfg80211_rx_assoc_resp() initialises the status and response-IE fields of cfg80211_connect_resp_params from the management frame before proving that the fra…"
2026-09-24T17:17:13.683Z,CVE-2026-93807,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: wifi: rsi: avoid reading TKIP MIC keys for non-TKIP ciphers rsi_hal_load_key() copies tx_mic_key and rx_mic_key from data[16] and data[24] whenever key data is present. Those offsets are only part of the 32-byte TKIP key layout. Sh…"
2026-09-24T17:17:13.797Z,CVE-2026-93808,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: ALSA: usb-audio: caiaq: validate EP1 reply lengths usb_ep1_command_reply_dispatch() uses buf[0] as a command byte and then reads command-specific fixed items from the same URB buffer. Several paths use buf + 1, buf[1], buf[2], or b…"
2026-09-24T17:17:13.917Z,CVE-2026-93809,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: drm/amdgpu: flush pending RCU callbacks on module unload Call rcu_barrier() in module exit to wait for outstanding call_rcu() callbacks before freeing module text, preventing late callback execution in freed memory. BUG: unable to…"
2026-09-24T17:17:14.433Z,CVE-2026-93810,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: cachefiles: Fix double fput Fix a double fput() in error handling in cachefiles_create_tmpfile()."
2026-09-24T17:17:14.55Z,CVE-2026-93811,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: ksmbd: Fix acl.sd_buf memory leak and invalid sd_size error handling 1. When ndr_decode_v4_ntacl() fails, the code jumped to free_n_data which only freed n.data, skipping kfree(acl.sd_buf) and leaking the buffer. Zero-initialize st…"
2026-09-24T17:17:14.657Z,CVE-2026-93812,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: ksmbd: fix sd_ndr.data memory leak in ksmbd_vfs_set_sd_xattr ndr_encode_v4_ntacl() allocates sd_ndr.data via kzalloc() at entry. If any subsequent ndr_write_*() call returns error during encoding, the allocated sd_ndr.data won't be…"
2026-09-24T17:17:14.763Z,CVE-2026-93813,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: btrfs: tree-checker: validate INODE_REF's namelen [BUG] A crafted btrfs image can trigger the following crash: BUG: unable to handle page fault for address: ffffd1dc42884000 #PF: supervisor write access in kernel mode #PF: error_co…"
2026-09-24T17:17:14.897Z,CVE-2026-93814,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: spi: core: Abort active target transfer on controller suspend When an SPI controller operating in target mode has a transfer in progress at the time of system suspend, the suspend path proceeds without aborting the ongoing transfer…"
2026-09-24T17:17:15.01Z,CVE-2026-93815,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: net: au1000: move free_irq out of the close-time spinlocked section au1000_close() calls free_irq() while aup->lock is still held with spin_lock_irqsave(). free_irq() can sleep because it takes the IRQ descriptor request mutex, so…"
2026-09-24T17:17:15.12Z,CVE-2026-93816,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: f2fs: validate inline dentry name lengths before conversion Inline dentry conversion copies names out of the inline dentry area before checking that each recorded name length fits in the available filename slots. A corrupted image…"
2026-09-24T17:17:15.233Z,CVE-2026-93817,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: perf: Fix addr_filter_ranges lifetime Lee Jia Jie reported that since event::addr_filter_ranges is used under RCU, it should be RCU freed."
2026-09-24T17:17:15.35Z,CVE-2026-93818,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: PCI: plda: Protect root bus removal with rescan lock Hold the pci_rescan_remove_lock lock while stopping and removing a root bus to avoid racing with concurrent rescan or hotplug operations triggered via sysfs. Such races may lead…"
2026-09-24T17:17:15.467Z,CVE-2026-93819,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: PCI: mediatek: Protect root bus removal with rescan lock Hold the pci_rescan_remove_lock lock while stopping and removing a root bus to avoid racing with concurrent rescan or hotplug operations triggered via sysfs. Such races may l…"
2026-09-24T17:17:15.573Z,CVE-2026-93820,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: PCI: rockchip: Protect root bus removal with rescan lock Hold the pci_rescan_remove_lock lock while stopping and removing a root bus to avoid racing with concurrent rescan or hotplug operations triggered via sysfs. Such races may l…"
2026-09-24T17:17:15.69Z,CVE-2026-93821,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: PCI: altera: Protect root bus removal with rescan lock Hold the pci_rescan_remove_lock lock while stopping and removing a root bus to avoid racing with concurrent rescan or hotplug operations triggered via sysfs. Such races may lea…"
2026-09-24T17:17:15.813Z,CVE-2026-93822,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: PCI: iproc: Protect root bus removal with rescan lock Hold the pci_rescan_remove_lock lock while stopping and removing a root bus to avoid racing with concurrent rescan or hotplug operations triggered via sysfs. Such races may lead…"
2026-09-24T17:17:15.947Z,CVE-2026-93823,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: drm/amdkfd: Let driver decide buffer size at AMDKFD_IOC_GET_DMABUF_INFO ioctl amdkfd driver needs allocate buffer to return bo metadata to user space. The buffer size is controlled by user currently. It is a potential security issu…"
2026-09-24T17:17:16.073Z,CVE-2026-93824,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: tls: reject the combination of TLS and sockmap TLS and sockmap (BPF psock) integration hides a lot of latent bugs. Bugs which may be more or less relevant for real users but they are definitely exploitable. We could not find anyone…"
2026-09-24T17:17:16.193Z,CVE-2026-93825,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: spi: Add NULL check for spi_get_device_id() in spi_get_device_match_data() Prevent NULL pointer dereference when spi_get_device_id() returns NULL, which can happen when using driver_override without matching SPI ID entry."
2026-09-24T17:17:16.297Z,CVE-2026-93826,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: HID: hidpp: fix potential UAF in hidpp_connect_event() If input_register_device() fails, we call input_free_device(), but keep stale pointer to the old device in hidpp->input, which could potentially lead to UAF. Fix that by resett…"
2026-09-24T17:17:16.41Z,CVE-2026-93827,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: virtio-fs: avoid double-free on failed queue setup virtio_fs_setup_vqs() allocates fs->vqs and fs->mq_map before calling virtio_find_vqs(). If virtio_find_vqs() fails, the error path frees both pointers and returns an error to virt…"
2026-09-24T17:17:16.517Z,CVE-2026-93828,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: exfat: fix handling of damaged volume in exfat_create_upcase_table() When the size of the upcase table is set to zero in the dentry for any reason(e.g. corrupted media or misbehaving device), an integer overflow causes the module t…"
2026-09-24T17:17:16.63Z,CVE-2026-93829,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: smb: client: fix races in cifsd thread creation The cifsd demultiplex thread can run and access tcp_ses before the parent thread has finished populating tcp_ses, which the worker thread accesses locklessly. Also, the kthread_run ma…"
2026-09-24T17:17:16.74Z,CVE-2026-93830,,,Received,,3,"In the Linux kernel, the following vulnerability has been resolved: net: stmmac: xgmac2: disable RBUE in default RX interrupt mask Enabling the RX Buffer Unavailable (RBUE) interrupt is counterproductive and can trigger a MAC interrupt storm under heavy RX pressure. When the DMA runs out of RX desc…"
2026-09-24T17:17:16.86Z,CVE-2026-94281,MEDIUM,6.5,Received,CWE-125,1,An out-of-bounds read in libXi's XListInputDevices() class parsing in libXi before 1.8.4 could be used by malicious X servers to crash an attached X client.
2026-09-24T17:17:16.987Z,CVE-2026-94604,,,Rejected,,0,Rejected reason: This CVE is a duplicate of another CVE.
2026-09-24T17:17:17.063Z,CVE-2026-94606,HIGH,8.9,Received,CWE-287; CWE-807,15,"authentik is an open-source identity provider. Prior to 2026.2.7, 2026.5.7, and 2026.8.2, authentik email authenticator enrollment during an authentication or enrollment flow accepts a recipient address supplied in the setup request instead of using the address already established by the flow. An a…"
2026-09-24T17:17:17.23Z,CVE-2026-94609,HIGH,8.8,Received,CWE-269; CWE-863,15,"authentik is an open-source identity provider. Prior to 2026.2.7, 2026.5.7, and 2026.8.2, an account with delegated permission to manage a group, group membership, or a user can grant superuser status to an account or assign an existing role to a group without holding the permissions that gate thos…"
2026-09-24T17:17:17.39Z,CVE-2026-94611,HIGH,8.1,Received,CWE-200; CWE-522,15,"authentik is an open-source identity provider. Prior to 2026.2.7, 2026.5.7, and 2026.8.2, authentik API serializers return stored credentials when an account has view permission on an affected configuration, even when that account is not authorized to change the configuration or read its secrets. A…"
2026-09-24T17:17:17.557Z,CVE-2026-94612,HIGH,7.4,Received,CWE-287; CWE-345,15,"authentik is an open-source identity provider. Prior to 2026.2.7, 2026.5.7, and 2026.8.2, an authentik SAML Source verifies an assertion's signature and validity period but does not ensure that the identity provider issued the assertion for that Source or in response to a login request from that So…"
